7zip 24.09-3
a52dec 0.8.0-2
abseil-cpp 20250127.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-icon-theme 48.0-1
aha 0.5.1-3
alsa-card-profiles 1:1.4.1-1
alsa-lib 1.2.13-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
aom 3.12.0-1
appmenu-gtk-module 24.05-1
appstream 1.0.4-1
appstream-glib 0.8.3-2
appstream-qt5 1.0.4-1
archlinux-appstream-data 20250317-1
archlinux-keyring 20250123-1
aria2 1.37.0-1
aribb24 1.0.3-4
ark 24.12.3-1
asar 3.3.1-2
at-spi2-core 2.56.0-1
atkmm 2.28.4-1
attica5 5.116.0-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
awesome-terminal-fonts 1.1.0-5
aws-cli-bin 1:2.24.19-1
baloo 6.12.0-1
baloo-widgets 24.12.3-1
base 3-2
base-devel 1-2
bat 0.25.0-4
bind 9.20.7-1
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
bluedevil 1:6.3.3-1
bluez 5.80-1
bluez-qt5 5.116.0-1
bluez-utils 5.80-1
bolt 0.9.8-1
boost-libs 1.87.0-3
breeze-gtk 6.3.3-1
breeze-icons 6.12.0-1
breeze5 6.3.3-1
bridge-utils 1.7.1-2
bt-dualboot 1.0.1-4
btrfs-progs 6.13-1
bubblewrap 0.11.0-1
c-ares 1.34.4-1
cairo 1.18.4-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-2
cblas 3.12.1-2
cdparanoia 10.2-9
cifs-utils 7.3-1
cloudflared-bin 2025.2.1-1
colord 1.4.7-2
colord-kde 24.12.3-1
confuse 3.3-4
containerd 2.0.4-1
convertlit 1.8-12
ctemplate 2.4-3
cython 3.0.12-1
dav1d 1.5.1-1
dbus-glib 0.114-1
dconf 0.40.0-3
desktop-file-utils 0.28-1
desmume 0.9.13-1
devilspie 0.23-6
dhcpcd 10.2.2-1
direnv 2.35.0-1
discount 3.0.0.d-1
discover 6.3.3-1
djvulibre 3.5.28-6
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
dnssec-anchors 20190629-4
docbook-xml 4.5-10
docbook-xsl 1.79.2-9
docker 1:28.0.4-1
docker-buildx 0.22.0-1
docker-compose 2.34.0-1
dolphin 24.12.3-1
dos2unix 7.5.2-2
dosfstools 4.2-5
double-conversion 3.3.1-1
downgrade 11.4.4-1
drkonqi 6.3.3-1
duktape 2.7.0-7
ebook-tools 0.2.2-8
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
enchant 2.8.2-2
exiv2 0.28.5-1
faad2 2.11.2-1
fakeroot 1.37.1.1-1
ffmpeg 2:7.1-7
ffmpeg4.4 4.4.5-3
fftw 3.3.10-7
figlet 2.2.5-6
file 5.46-4
findutils 4.10.0-2
firefox 136.0.4-1
firefox-profile-switcher-connector 0.1.1-1
flac 1.5.0-1
flashplugin 32.0.0.465-2
flashrom 1.5.1-1
flex 2.6.4-5
fontconfig 2:2.16.1-1
fortune-mod 3.22.0-1
frameworkintegration5 5.116.0-1
freeglut 3.6.0-1
freeimage 3.18.0-23
freetype2 2.13.3-3
fribidi 1.0.16-1
fuse3 3.16.2-1
fwupd 2.0.7-1
fwupd-efi 1.7-1
fzf 0.60.3-1
gawk 5.3.1-2
