a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.2.53-3
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
alsa-lib 1.2.3.2-1
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
aom 2.0.0-1
appstream-glib 0.7.18-1
archlinux-keyring 20200820-1
argon2 20190702-3
aribb24 1.0.3-3
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.1-1
atk 2.36.0-1
atkmm 2.28.0-2
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
autoconf-archive 1:2019.01.06-2
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
awesome-terminal-fonts 1.1.0-3
baobab 3.34.1-1
base 2-2
bash 5.0.018-1
bat 0.15.4-1
binutils 2.35-2
bison 3.6.4-1
blas 3.9.0-3
bluez 5.55-1
bluez-libs 5.55-1
bluez-utils 5.55-1
boost-libs 1.72.0-2
bridge-utils 1.7-1
brotli 1.0.7-3
btrfs-progs 5.7-1
bubblewrap 0.4.1-1
bzip2 1.0.8-3
c-ares 1.16.1-2
ca-certificates 20181109-4
ca-certificates-mozilla 3.56-1
ca-certificates-utils 20181109-4
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
calf 0.90.3-2
cantarell-fonts 1:0.201-1
caribou 0.4.21+60+gec9041b-3
cblas 3.9.0-3
cdparanoia 10.2-8
chromaprint 1.5.0-2
chrpath 0.16-3
cinnamon 4.6.7-1
cinnamon-control-center 4.6.2-1
cinnamon-desktop 4.6.4-1
cinnamon-menus 4.6.1-1
cinnamon-screensaver 4.6.0-1
cinnamon-session 4.6.2-1
cinnamon-settings-daemon 4.6.4-1
cjs 4.4.0-2
clutter 1.26.4-1
cogl 1.22.8-1
colord 1.4.4+9+g1ce26da-2
colord-sane 1.4.4+9+g1ce26da-2
containerd 1.4.0-2
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.4-1
ctemplate 2.4-1
curl 7.72.0-2
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.36.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dhcpcd 9.2.0-1
diffutils 3.7-3
djvulibre 3.5.27-6
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-2
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:19.03.12-2
docker-compose 1.27.2-1
dosfstools 4.1-3
double-conversion 3.1.5-2
e2fsprogs 1.45.6-2
efibootmgr 17-2
efivar 37-4
elfutils 0.180-1
enchant 2.2.8-3
epiphany 3.36.4-1
evince 3.36.7-1
exempi 2.5.2-1
exiv2 0.27.3-1
expat 2.2.9-3
faac 1.30-2
faad2 2.9.2-1
fakeroot 1.24-2
ffmpeg 2:4.3.1-2
fftw 3.3.8-3
figlet 2.2.5-4
file 5.39-1
file-roller 3.36.3-1
filesystem 2020.08.21-1
findutils 4.7.0-2
firefox 80.0.1-1
flac 1.3.3-2
flashplugin 32.0.0.433-1
flex 2.6.4-3
fltk 1.3.5-3
fluidsynth 2.1.4-1
fontconfig 2:2.13.91+48+gfcb0420-2
fortune-mod 2.12.0-1
freetype2 2.10.2-1
fribidi 1.0.10-1
fuse-common 3.9.3-1
fuse2 2.9.9-4
fuse3 3.9.3-1
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 10.2.0-2
gcc-libs 10.2.0-2
gconf 3.2.6+11+g07808097-9
gcr 3.36-1
gd 2.3.0-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0+6+g5432316df-1
gdm 3.36.3-6
geckodriver 0.26.0-1
geoclue 2.5.6-1
geocode-glib 3.26.2-1
gettext 0.21-1
ghostscript 9.52-1
giflib 5.2.1-2
git 2.28.0-1
gjs 2:1.64.4-1
glib-networking 2.64.3-2
glib2 2.64.5-1
glib2-docs 2.64.5-1
glibc 2.32-4
glibmm 2.64.2-1
glipper 2.4-6
glslang 8.13.3743-1
glu 9.0.1-2
gmp 6.2.0-1
gnome-autoar 0.2.4-2
gnome-backgrounds 3.36.0-1
gnome-bluetooth 3.34.1-1
gnome-calculator 3.36.0-1
gnome-characters 3.34.0-1
gnome-color-manager 3.36.0-1
gnome-common 3.18.0-4
gnome-desktop 1:3.36.6-1
gnome-disk-utility 3.36.3-1
gnome-font-viewer 3.34.0+27+g5ffd1ba-1
gnome-keyring 1:3.36.0-1
